"mode","wait.air","wait.train","wait.bus","wait.car","vcost.air","vcost.train","vcost.bus","vcost.car","travel.air","travel.train","travel.bus","travel.car","gcost.air","gcost.train","gcost.bus","gcost.car","size","income"
"car",69,34,35,0,67,38,32,12,108,370,415,240,79,78,77,38,1,70
"car",64,44,53,0,108,90,45,19,200,944,934,720,139,234,187,128,2,70
"air",60,44,53,0,108,32,26,7,80,344,389,315,120,84,85,55,2,30
"air",30,44,53,0,58,32,26,8,90,506,551,402,72,109,110,69,2,35
"air",55,34,35,0,69,43,37,13,115,392,437,268,81,85,84,42,1,60
"air",40,34,35,0,66,31,25,18,105,372,417,327,77,71,70,54,1,45
"bus",69,34,40,0,57,31,18,13,67,355,245,320,65,69,45,48,1,45
"bus",69,34,20,0,129,67,54,38,185,933,820,894,149,168,143,135,1,6
"air",90,34,35,0,151,96,51,35,95,895,885,844,161,193,147,127,1,36
"air",10,34,35,0,70,34,28,22,85,351,396,307,80,72,71,55,1,20
"air",25,44,53,0,75,15,12,7,100,348,393,290,90,68,72,51,2,20
"air",99,34,35,0,110,92,47,45,260,934,924,816,138,193,147,134,1,26
"air",30,34,35,0,94,89,44,58,195,943,933,912,115,191,145,157,1,29
"air",35,44,53,0,95,45,43,23,155,930,920,860,119,186,183,153,2,8
"bus",69,34,15,0,104,89,38,39,178,992,675,900,123,197,111,137,1,32
"bus",64,44,30,0,103,88,35,18,170,889,770,905,129,222,152,155,2,45
"car",64,44,53,0,86,75,44,13,167,972,962,870,112,222,190,145,3,45
"bus",64,44,30,0,108,90,36,18,139,862,780,875,129,220,154,151,2,26
"car",69,34,35,0,59,31,25,13,106,372,417,300,71,71,70,46,1,60
"train",64,10,53,0,58,35,13,8,124,380,427,364,77,92,78,63,2,10
"car",64,44,53,0,107,89,44,2,153,880,870,660,131,222,176,102,2,45
"car",64,44,53,0,86,74,43,16,143,880,870,660,108,207,175,116,3,60
"bus",69,34,15,0,108,91,35,38,196,967,935,903,129,196,136,136,1,60
"bus",69,34,25,0,103,45,25,37,149,892,730,882,119,142,104,133,1,8
"car",64,44,53,0,103,89,44,34,160,987,977,660,127,239,192,134,2,60
"car",64,44,53,0,114,60,58,19,161,1031,1021,720,138,217,213,128,2,12
"car",69,34,35,0,107,91,46,36,150,914,904,750,123,190,144,117,1,45
"bus",69,34,5,0,118,96,65,64,137,904,850,859,132,194,157,157,1,50
"bus",69,34,45,0,102,87,35,35,101,870,800,825,113,182,122,125,1,26
"car",64,44,53,0,85,73,42,12,101,870,860,600,101,205,173,103,3,35
"train",69,30,35,0,107,61,45,54,158,780,901,853,125,146,143,147,1,12
"train",69,30,35,0,113,67,49,47,244,845,893,868,140,158,146,141,1,15
"train",64,99,53,0,84,37,46,10,215,885,966,921,117,171,193,150,4,12
"train",64,25,53,0,94,68,47,16,163,755,895,879,119,183,183,149,3,35
"train",69,15,35,0,112,21,45,47,161,797,876,852,129,108,140,140,1,26
"train",69,45,35,0,103,20,43,35,166,820,836,886,121,109,134,131,1,6
"train",69,30,35,0,107,33,44,48,152,755,882,845,124,115,140,140,1,4
"train",64,10,53,0,103,41,43,19,164,730,925,898,128,152,183,155,2,40
"train",64,10,53,0,143,83,70,50,166,825,896,911,168,208,206,188,1,40
"air",45,34,35,0,94,91,46,49,270,916,906,872,123,190,144,144,1,60
"air",45,34,35,0,138,60,58,47,115,880,870,888,150,156,153,143,1,4
"air",60,34,35,0,102,112,67,43,250,997,952,971,129,220,170,148,1,50
"air",60,44,53,0,151,91,46,21,255,941,931,959,190,234,187,166,2,60
"air",60,34,35,0,111,97,52,49,205,888,878,855,133,193,147,142,1,70
"air",60,44,53,0,70,31,25,7,95,360,405,335,93,85,86,58,2,40
"air",45,44,53,0,74,26,21,4,70,361,406,315,85,81,82,52,3,35
"air",75,44,53,0,165,98,53,26,180,967,922,947,192,245,193,170,2,60
"air",30,34,35,0,93,96,51,54,175,1030,1020,967,112,208,162,159,1,60
"air",90,44,53,0,71,31,25,7,115,385,430,332,89,89,90,57,2,50
"air",45,44,53,0,75,33,28,5,75,418,463,291,96,96,98,49,3,40
"air",60,34,35,0,81,32,26,13,70,341,386,307,89,69,68,46,1,60
"air",75,34,35,0,94,33,27,14,95,367,412,314,104,73,72,48,1,20
"car",64,44,53,0,70,61,34,11,158,778,772,470,93,179,151,82,3,50
"car",64,44,53,0,65,54,33,8,145,674,668,560,87,156,135,93,4,70
"car",64,44,53,0,71,59,32,8,133,625,619,510,91,153,126,85,3,50
"car",69,34,35,0,81,71,32,33,139,698,692,600,96,147,107,98,1,26
"car",64,44,53,0,65,53,32,9,154,621,615,535,89,147,125,90,4,45
"car",64,44,53,0,58,48,32,5,148,646,640,470,80,145,129,76,6,45
"car",69,34,35,0,81,70,31,30,95,610,604,440,91,136,96,78,1,30
"car",64,44,53,0,71,59,32,10,145,658,652,590,93,159,131,100,3,40
"car",64,44,53,0,82,71,32,13,159,765,759,490,106,187,147,87,2,50
"bus",69,34,50,0,61,33,26,14,73,350,227,314,69,71,51,48,1,35
"bus",69,34,15,0,60,31,21,14,133,397,240,351,74,74,47,52,1,34
"bus",64,44,15,0,81,35,31,12,129,677,565,588,101,138,117,101,2,8
"car",69,34,35,0,59,32,26,17,117,397,442,180,72,75,74,37,1,30
"bus",69,34,30,0,111,93,35,42,276,1047,860,1008,141,207,128,151,1,32
"bus",69,34,15,0,59,30,21,13,88,361,295,299,68,70,53,45,1,26
"bus",69,34,15,0,59,31,21,13,114,389,243,334,71,73,47,49,1,42
"air",90,44,53,0,55,72,33,24,115,602,596,589,72,163,123,113,1,50
"air",15,44,53,0,87,31,25,7,110,348,393,320,104,84,85,56,2,70
"car",69,34,35,0,62,39,33,12,76,377,422,300,71,80,79,45,1,30
"car",69,34,35,0,59,31,25,14,121,386,431,270,72,73,72,43,1,26
"train",64,20,53,0,51,61,22,6,90,350,405,327,64,114,83,56,3,26
"train",64,50,53,0,64,41,15,9,215,420,385,321,97,104,73,58,2,18
"train",64,30,53,0,58,21,24,7,74,295,389,315,69,66,83,55,2,35
"bus",64,44,15,0,71,58,35,11,119,617,615,586,89,152,128,100,3,50
"air",15,34,35,0,50,15,12,13,75,361,406,315,58,55,56,47,1,4
"air",10,44,53,0,61,24,19,4,80,350,395,314,73,77,79,52,4,30
"car",69,34,35,0,59,31,25,13,100,372,417,210,70,71,70,36,1,45
"car",69,34,35,0,58,31,25,18,73,324,334,240,66,66,61,44,1,60
"car",69,34,35,0,62,19,16,18,184,454,464,225,82,68,66,42,1,4
"air",30,34,35,0,93,33,27,13,85,365,410,308,102,72,71,46,1,30
"air",20,34,35,0,76,33,27,13,95,344,389,315,86,70,69,47,1,60
"bus",64,44,30,0,100,49,48,14,190,678,430,629,129,152,113,109,2,4
"train",64,10,53,0,48,21,13,4,63,255,397,324,58,60,73,53,3,18
"train",64,10,53,0,58,30,13,6,93,315,346,316,72,78,65,54,2,15
"car",69,34,35,0,59,30,24,10,94,361,406,270,69,70,68,39,1,26
"air",30,34,35,0,111,71,32,27,105,596,590,577,122,136,96,90,1,40
"air",5,44,53,0,64,30,24,7,80,348,393,291,76,83,84,51,2,70
"air",5,44,53,0,60,24,19,3,85,379,424,337,73,81,83,54,4,45
"bus",64,44,16,0,97,76,38,15,188,825,810,803,125,201,161,137,3,26
"car",69,34,35,0,91,77,38,29,117,630,624,540,104,145,106,88,1,35
"bus",69,34,5,0,59,16,14,17,114,378,370,335,72,57,54,53,1,4
"bus",69,34,10,0,60,34,37,13,66,352,250,307,67,72,64,46,1,20
"bus",69,34,30,0,107,89,35,37,144,879,775,868,123,184,119,131,1,45
"car",69,34,35,0,81,69,30,30,124,605,599,720,94,135,95,108,1,40
"air",45,34,35,0,126,70,31,32,135,596,590,577,141,135,95,95,1,40
"bus",69,34,50,0,59,15,29,13,86,360,265,300,68,54,57,46,1,2
"car",69,34,35,0,81,35,31,27,124,605,599,510,94,100,96,82,1,20
"car",64,44,53,0,66,54,33,12,140,670,664,540,87,156,134,94,4,70
